Doc ID,Question,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Is Changed,Text Output,NormalizedTextOutput,Cumulative Confidence 1
0,"Which option describe the object relationship in the image correctly?
Options: A: The suitcase is on the book., B: The suitcase is beneath the cat., C: The suitcase is beneath the bed., D: The suitcase is beneath the book.",A,['D'],0.0,coarse perception,image scene and topic,Stage 0,False,['D'],d,0.6011466980980469
0,"Which option describe the object relationship in the image correctly?
Options: A: The suitcase is on the book., B: The suitcase is beneath the cat., C: The suitcase is beneath the bed., D: The suitcase is beneath the book.",A,['D'],0.0,coarse perception,image scene and topic,Stage 1,False,['D'],d,0.8296675683067871
0,"Which option describe the object relationship in the image correctly?
Options: A: The suitcase is on the book., B: The suitcase is beneath the cat., C: The suitcase is beneath the bed., D: The suitcase is beneath the book.",A,['D'],0.0,coarse perception,image scene and topic,Stage 2,False,['D'],d,0.991088628868921
0,"Which option describe the object relationship in the image correctly?
Options: A: The suitcase is on the book., B: The suitcase is beneath the cat., C: The suitcase is beneath the bed., D: The suitcase is beneath the book.",A,['D'],0.0,coarse perception,image scene and topic,Stage 3,False,['D'],d,0.9763728381203248
1,"What is the main feature in the background of the image?
Options: A: A park bench near the water., B: A couple sitting on a bench., C: A body of water and the Golden Gate Bridge., D: A mountain in the distance.",B,['A'],0.0,coarse perception,image scene and topic,Stage 0,False,['C'],c,0.9563643933342528
1,"What is the main feature in the background of the image?
Options: A: A park bench near the water., B: A couple sitting on a bench., C: A body of water and the Golden Gate Bridge., D: A mountain in the distance.",B,['A'],0.0,coarse perception,image scene and topic,Stage 1,False,['C'],c,0.5571560860680176
1,"What is the main feature in the background of the image?
Options: A: A park bench near the water., B: A couple sitting on a bench., C: A body of water and the Golden Gate Bridge., D: A mountain in the distance.",B,['A'],0.0,coarse perception,image scene and topic,Stage 2,False,['C'],c,0.9962104559944704
1,"What is the main feature in the background of the image?
Options: A: A park bench near the water., B: A couple sitting on a bench., C: A body of water and the Golden Gate Bridge., D: A mountain in the distance.",B,['A'],0.0,coarse perception,image scene and topic,Stage 3,False,['C'],c,0.9950573445366456
2,"What seems to be the theme of the image?
Options: A: Hanging Posters, B: Music, C: Home decoration, D: Playing guitar",D,['B'],0.0,coarse perception,image scene and topic,Stage 0,True,['A'],a,0.4569894076393677
2,"What seems to be the theme of the image?
Options: A: Hanging Posters, B: Music, C: Home decoration, D: Playing guitar",D,['B'],0.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.98483282337652
2,"What seems to be the theme of the image?
Options: A: Hanging Posters, B: Music, C: Home decoration, D: Playing guitar",D,['B'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.971887528996332
2,"What seems to be the theme of the image?
Options: A: Hanging Posters, B: Music, C: Home decoration, D: Playing guitar",D,['B'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.9387646914528442
3,"What is the most prominent feature in the image?
Options: A: The skyline, B: The golf course, C: The trees, D: The person",C,['B'],0.0,coarse perception,image scene and topic,Stage 0,True,['A'],a,0.4580380619572236
3,"What is the most prominent feature in the image?
Options: A: The skyline, B: The golf course, C: The trees, D: The person",C,['B'],0.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.964287042717798
3,"What is the most prominent feature in the image?
Options: A: The skyline, B: The golf course, C: The trees, D: The person",C,['B'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.8812732101486755
3,"What is the most prominent feature in the image?
Options: A: The skyline, B: The golf course, C: The trees, D: The person",C,['B'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.7425523401306702
4,"What is the center of focus in the image?
Options: A: A man writing in a book, B: A boy with his head in his hands surrounded by books, C: A cluttered desk with books and a pen, D: A stack of books covering a young man's face",A,['B'],0.0,coarse perception,image scene and topic,Stage 0,True,['D'],d,0.3958659173058105
4,"What is the center of focus in the image?
Options: A: A man writing in a book, B: A boy with his head in his hands surrounded by books, C: A cluttered desk with books and a pen, D: A stack of books covering a young man's face",A,['B'],0.0,coarse perception,image scene and topic,Stage 1,True,['B'],b,0.9775765539215638
4,"What is the center of focus in the image?
Options: A: A man writing in a book, B: A boy with his head in his hands surrounded by books, C: A cluttered desk with books and a pen, D: A stack of books covering a young man's face",A,['B'],0.0,coarse perception,image scene and topic,Stage 2,True,['B'],b,0.989283323387964
4,"What is the center of focus in the image?
Options: A: A man writing in a book, B: A boy with his head in his hands surrounded by books, C: A cluttered desk with books and a pen, D: A stack of books covering a young man's face",A,['B'],0.0,coarse perception,image scene and topic,Stage 3,True,['B'],b,0.979624390702112
5,"What is the main subject of the flyer seen in the image?
Options: A: Hair products, B: Makeup products, C: Spa services, D: Skin products",D,['C'],0.0,coarse perception,image scene and topic,Stage 0,False,['C'],c,0.6018301845596863
5,"What is the main subject of the flyer seen in the image?
Options: A: Hair products, B: Makeup products, C: Spa services, D: Skin products",D,['C'],0.0,coarse perception,image scene and topic,Stage 1,False,['C'],c,0.9965958000229432
5,"What is the main subject of the flyer seen in the image?
Options: A: Hair products, B: Makeup products, C: Spa services, D: Skin products",D,['C'],0.0,coarse perception,image scene and topic,Stage 2,False,['C'],c,0.9969102741287782
5,"What is the main subject of the flyer seen in the image?
Options: A: Hair products, B: Makeup products, C: Spa services, D: Skin products",D,['C'],0.0,coarse perception,image scene and topic,Stage 3,False,['C'],c,0.9979248047875
