Doc ID,Question,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Is Changed,Text Output,NormalizedTextOutput,Cumulative Confidence 1,Cumulative Confidence 2,Cumulative Confidence 3,Cumulative Confidence 4
0,Is a python code shown in the picture? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.7088,0.7088,,
0,Is a python code shown in the picture? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.9564,0.9563,,
0,Is a python code shown in the picture? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 2,False,['Yes'],yes,0.9282,0.9282,,
0,Is a python code shown in the picture? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 3,False,['Yes'],yes,0.917,0.917,,
1,Is a c++ code shown in the picture? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.7247,0.7247,,
1,Is a c++ code shown in the picture? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.9388,0.9388,,
1,Is a c++ code shown in the picture? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 2,False,['Yes'],yes,0.8174,0.8174,,
1,Is a c++ code shown in the picture? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 3,False,['Yes'],yes,0.8264,0.8264,,
2,The image shows a python code. Is the output of the code '7'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.5581,0.558,,
2,The image shows a python code. Is the output of the code '7'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.6036,0.6036,,
2,The image shows a python code. Is the output of the code '7'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 2,False,['Yes'],yes,0.6111,0.6111,,
2,The image shows a python code. Is the output of the code '7'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 3,False,['Yes'],yes,0.5924,0.5924,,
3,The image shows a python code. Is the output of the code '1'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.5657,0.5656,,
3,The image shows a python code. Is the output of the code '1'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.5502,0.5502,,
3,The image shows a python code. Is the output of the code '1'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 2,False,['Yes'],yes,0.6073,0.6073,,
3,The image shows a python code. Is the output of the code '1'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 3,False,['Yes'],yes,0.6822,0.6821,,
4,The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 0,True,['No'],no,0.7055,0.7055,,
4,The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 1,True,['Yes'],yes,0.5153,0.5152,,
4,The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 2,True,['Yes'],yes,0.558,0.558,,
4,The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 3,True,['Yes'],yes,0.6034,0.6034,,
5,The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 0,True,['No'],no,0.7055,0.7054,,
5,The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 1,True,['Yes'],yes,0.6787,0.6786,,
5,The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 2,True,['Yes'],yes,0.6218,0.6218,,
5,The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 3,True,['Yes'],yes,0.5728,0.5728,,
6,The image shows a python code. Is the output of the code '36'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 0,True,['Yes'],yes,0.5658,0.5657,,
6,The image shows a python code. Is the output of the code '36'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 1,True,['Yes'],yes,0.5503,0.5503,,
6,The image shows a python code. Is the output of the code '36'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 2,True,['Yes'],yes,0.5076,0.5076,,
6,The image shows a python code. Is the output of the code '36'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 3,True,['No'],no,0.6111,0.6111,,
7,The image shows a python code. Is the output of the code '6'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.5387,0.5387,,
7,The image shows a python code. Is the output of the code '6'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.6257,0.6257,,
7,The image shows a python code. Is the output of the code '6'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 2,False,['Yes'],yes,0.5999,0.5998,,
7,The image shows a python code. Is the output of the code '6'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 3,False,['Yes'],yes,0.5618,0.5618,,
8,The image shows a python code. Is the output of the code '12'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 0,True,['Yes'],yes,0.531,0.5309,,
8,The image shows a python code. Is the output of the code '12'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 1,True,['Yes'],yes,0.5388,0.5387,,
8,The image shows a python code. Is the output of the code '12'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 2,True,['Yes'],yes,0.5076,0.5076,,
8,The image shows a python code. Is the output of the code '12'? Please answer yes or no.,Yes,['No'],0.0,code_reasoning,Unknown,Stage 3,True,['No'],no,0.5503,0.5503,,
9,The image shows a python code. Is the output of the code '5'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.562,0.5619,,
9,The image shows a python code. Is the output of the code '5'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.6295,0.6295,,
9,The image shows a python code. Is the output of the code '5'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 2,False,['Yes'],yes,0.6547,0.6546,,
9,The image shows a python code. Is the output of the code '5'? Please answer yes or no.,No,['Yes'],0.0,code_reasoning,Unknown,Stage 3,False,['Yes'],yes,0.6259,0.6258,,
10,Is a c++ code shown in the picture? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 0,False,['Yes'],yes,0.5389,0.5388,,
10,Is a c++ code shown in the picture? Please answer yes or no.,Yes,['Yes'],1.0,code_reasoning,Unknown,Stage 1,False,['Yes'],yes,0.798,0.798,,
