Doc ID,Question,Answer,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Text Output,Cumulative Confidences
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],"[""tensor(0.7216, device='cuda:3')"", ""tensor(0.7216, device='cuda:3')""]"
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],"[""tensor(0.6038, device='cuda:3')"", ""tensor(0.6038, device='cuda:3')""]"
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],"[""tensor(0.7490, device='cuda:3')"", ""tensor(0.7490, device='cuda:3')""]"
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],"[""tensor(0.7548, device='cuda:3')"", ""tensor(0.7548, device='cuda:3')""]"
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],"[""tensor(0.7878, device='cuda:3')"", ""tensor(0.7878, device='cuda:3')""]"
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],"[""tensor(0.9867, device='cuda:3', grad_fn=<ExpBackward0>)"", ""tensor(0.9867, device='cuda:3', grad_fn=<ExpBackward0>)""]"
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],"[""tensor(0.9954, device='cuda:3', grad_fn=<ExpBackward0>)"", ""tensor(0.9954, device='cuda:3', grad_fn=<ExpBackward0>)""]"
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],"[""tensor(0.9948, device='cuda:3', grad_fn=<ExpBackward0>)"", ""tensor(0.9948, device='cuda:3', grad_fn=<ExpBackward0>)""]"
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],"[""tensor(0.9559, device='cuda:3')"", ""tensor(0.9559, device='cuda:3')""]"
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],"[""tensor(0.8902, device='cuda:3')"", ""tensor(0.8902, device='cuda:3')""]"
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],"[""tensor(0.9787, device='cuda:3')"", ""tensor(0.9787, device='cuda:3')""]"
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],"[""tensor(0.9766, device='cuda:3')"", ""tensor(0.9766, device='cuda:3')""]"
3,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],"[""tensor(0.7981, device='cuda:3')"", ""tensor(0.7981, device='cuda:3')""]"
