"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cli_configs.batch_size","cli_configs.batch_sizes","cli_configs.bootstrap_iters","cli_configs.fewshot_seed","cli_configs.gen_kwargs","cli_configs.model","cli_configs.model_args","cli_configs.numpy_seed","cli_configs.random_seed","cli_configs.torch_seed","task_configs.mme.dataset_kwargs.token","task_configs.mme.dataset_path","task_configs.mme.doc_to_target","task_configs.mme.doc_to_text","task_configs.mme.doc_to_visual","task_configs.mme.fewshot_delimiter","task_configs.mme.full_docs","task_configs.mme.generation_kwargs.do_sample","task_configs.mme.generation_kwargs.max_new_tokens","task_configs.mme.generation_kwargs.num_beams","task_configs.mme.generation_kwargs.temperature","task_configs.mme.generation_kwargs.top_p","task_configs.mme.generation_kwargs.until","task_configs.mme.lmms_eval_specific_kwargs.default.post_prompt","task_configs.mme.lmms_eval_specific_kwargs.default.pre_prompt","task_configs.mme.lmms_eval_specific_kwargs.gpt4v.post_prompt","task_configs.mme.lmms_eval_specific_kwargs.gpt4v.pre_prompt","task_configs.mme.lmms_eval_specific_kwargs.otterhd.post_prompt","task_configs.mme.lmms_eval_specific_kwargs.otterhd.pre_prompt","task_configs.mme.lmms_eval_specific_kwargs.post_prompt","task_configs.mme.lmms_eval_specific_kwargs.pre_prompt","task_configs.mme.lmms_eval_specific_kwargs.qwen_vl.post_prompt","task_configs.mme.lmms_eval_specific_kwargs.qwen_vl.pre_prompt","task_configs.mme.lmms_eval_specific_kwargs.xcomposer2_4khd.post_prompt","task_configs.mme.lmms_eval_specific_kwargs.xcomposer2_4khd.pre_prompt","task_configs.mme.metadata","task_configs.mme.metric_list","task_configs.mme.num_fewshot","task_configs.mme.output_type","task_configs.mme.process_results","task_configs.mme.process_results_use_image","task_configs.mme.repeats","task_configs.mme.should_decontaminate","task_configs.mme.target_delimiter","task_configs.mme.task","task_configs.mme.test_split","task_configs.pope_pop.dataset_kwargs.token","task_configs.pope_pop.dataset_name","task_configs.pope_pop.dataset_path","task_configs.pope_pop.doc_to_target","task_configs.pope_pop.doc_to_text","task_configs.pope_pop.doc_to_visual","task_configs.pope_pop.fewshot_delimiter","task_configs.pope_pop.full_docs","task_configs.pope_pop.generation_kwargs.do_sample","task_configs.pope_pop.generation_kwargs.max_new_tokens","task_configs.pope_pop.generation_kwargs.num_beams","task_configs.pope_pop.generation_kwargs.temperature","task_configs.pope_pop.generation_kwargs.top_p","task_configs.pope_pop.generation_kwargs.until","task_configs.pope_pop.metadata","task_configs.pope_pop.metric_list","task_configs.pope_pop.num_fewshot","task_configs.pope_pop.output_type","task_configs.pope_pop.process_results","task_configs.pope_pop.process_results_use_image","task_configs.pope_pop.repeats","task_configs.pope_pop.should_decontaminate","task_configs.pope_pop.target_delimiter","task_configs.pope_pop.task","task_configs.pope_pop.test_split","task_configs.vqav2_val_lite.dataset_kwargs.token","task_configs.vqav2_val_lite.dataset_name","task_configs.vqav2_val_lite.dataset_path","task_configs.vqav2_val_lite.doc_to_target","task_configs.vqav2_val_lite.doc_to_text","task_configs.vqav2_val_lite.doc_to_visual","task_configs.vqav2_val_lite.fewshot_delimiter","task_configs.vqav2_val_lite.full_docs","task_configs.vqav2_val_lite.generation_kwargs.max_new_tokens","task_configs.vqav2_val_lite.generation_kwargs.until","task_configs.vqav2_val_lite.lmms_eval_specific_kwargs.default.post_prompt","task_configs.vqav2_val_lite.lmms_eval_specific_kwargs.default.pre_prompt","task_configs.vqav2_val_lite.lmms_eval_specific_kwargs.post_prompt","task_configs.vqav2_val_lite.lmms_eval_specific_kwargs.pre_prompt","task_configs.vqav2_val_lite.metadata","task_configs.vqav2_val_lite.metric_list","task_configs.vqav2_val_lite.num_fewshot","task_configs.vqav2_val_lite.output_type","task_configs.vqav2_val_lite.process_results","task_configs.vqav2_val_lite.process_results_use_image","task_configs.vqav2_val_lite.repeats","task_configs.vqav2_val_lite.should_decontaminate","task_configs.vqav2_val_lite.target_delimiter","task_configs.vqav2_val_lite.task","task_configs.vqav2_val_lite.test_split","mme/alias","mme/mme_cognition_score","mme/mme_cognition_score_stderr","mme/mme_percetion_score","mme/mme_percetion_score_stderr","pope_pop/alias","pope_pop/pope_accuracy","pope_pop/pope_accuracy_stderr","pope_pop/pope_f1_score","pope_pop/pope_f1_score_stderr","pope_pop/pope_precision","pope_pop/pope_precision_stderr","pope_pop/pope_recall","pope_pop/pope_recall_stderr","pope_pop/pope_yes_ratio","pope_pop/pope_yes_ratio_stderr","vqav2_val_lite/alias","vqav2_val_lite/exact_match","vqav2_val_lite/exact_match_stderr"
"exp_run_22_thresh_1.00_0.10_0.50","running","-","","","2025-01-01T08:23:39.000Z","1166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exp_run_22_thresh_1.00_0.10_0.50","running","-","","","2025-01-01T08:23:39.000Z","1170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exp_run_21_thresh_1.00_0.10_0.70","finished","-","","","2025-01-01T07:15:28.000Z","4073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exp_run_21_thresh_1.00_0.10_0.70","finished","-","","","2025-01-01T07:15:28.000Z","4078","","1","[]","100000","1234","","llava","pretrained=liuhaotian/llava-v1.6-vicuna-7b","1234","0","1234","true","lmms-lab/MME","answer","<function mme_doc_to_text at 0x7fff08657b50>","<function mme_doc_to_visual at 0x7fff086575b0>","

","false","false","16","1","0","1","[""\n\n""]","
Answer the question with Yes or No.","","
Answer the question with Yes or No.",""," Answer:","","
Answer the question with Yes or No.",""," Answer:",""," Answer this question briefly[UNUSED_TOKEN_145]
[UNUSED_TOKEN_146]assistant
","[UNUSED_TOKEN_146]user
","[{""version"":0}]","[{""metric"":""mme_percetion_score"",""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true},{""metric"":""mme_cognition_score"",""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true}]","0","generate_until","<function mme_process_results at 0x7fff08698160>","false","1","false"," ","mme","test","true","Full","lmms-lab/POPE","answer","<function pope_doc_to_text at 0x7fff0857b250>","<function pope_doc_to_visual at 0x7fff08511d80>","

","false","false","128","1","0","0","[""\n\n""]","[{""version"":0}]","[{""higher_is_better"":true,""metric"":""pope_accuracy"",""aggregation"":""utils.pope_aggregate_accuracy""},{""metric"":""pope_precision"",""aggregation"":""utils.pope_aggregate_precision"",""higher_is_better"":true},{""metric"":""pope_recall"",""aggregation"":""utils.pope_aggregate_recall"",""higher_is_better"":true},{""metric"":""pope_f1_score"",""aggregation"":""utils.pope_aggregate_f1_score"",""higher_is_better"":true},{""metric"":""pope_yes_ratio"",""aggregation"":""utils.pope_aggregate_yes_ratio"",""higher_is_better"":true}]","0","generate_until","<function pope_process_results at 0x7fff0857b880>","false","1","false"," ","pope_pop","popular","true","vqav2_val","lmms-lab/LMMs-Eval-Lite","answer","<function vqav2_doc_to_text at 0x7fff085aab00>","<function vqav2_doc_to_visual at 0x7fff085aa9e0>","

","false","16","[""\n\n""]","
Answer the question using a single word or phrase.","","
Answer the question using a single word or phrase.","","[{""version"":0}]","[{""metric"":""exact_match"",""aggregation"":""mean"",""ignore_case"":true,""higher_is_better"":true,""ignore_punctuation"":true}]","0","generate_until","<function vqav2_process_results_val at 0x7fff085aaef0>","false","1","false"," ","vqav2_val_lite","lite","mme","278.2142857142857","N/A","1463.6379551820728","N/A","pope_pop","0.8846666666666667","N/A","0.8747284576393918","N/A","0.9572107765451664","N/A","0.8053333333333333","N/A","0.5","N/A","vqav2_val_lite","0.7480000000000003","0.017842328810858434"
"exp_run_20_thresh_1.00_0.10_1.00","finished","-","","","2025-01-01T05:51:34.000Z","5021","","1","[]","100000","1234","","llava","pretrained=liuhaotian/llava-v1.6-vicuna-7b","1234","0","1234","true","lmms-lab/MME","answer","<function mme_doc_to_text at 0x7fff08633370>","<function mme_doc_to_visual at 0x7fff08632dd0>","

","false","false","16","1","0","1","[""\n\n""]","
Answer the question with Yes or No.","","
Answer the question with Yes or No.",""," Answer:","","
Answer the question with Yes or No.",""," Answer:",""," Answer this question briefly[UNUSED_TOKEN_145]
[UNUSED_TOKEN_146]assistant
","[UNUSED_TOKEN_146]user
","[{""version"":0}]","[{""metric"":""mme_percetion_score"",""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true},{""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true,""metric"":""mme_cognition_score""}]","0","generate_until","<function mme_process_results at 0x7fff08633910>","false","1","false"," ","mme","test","true","Full","lmms-lab/POPE","answer","<function pope_doc_to_text at 0x7fff085aea70>","<function pope_doc_to_visual at 0x7fff085393f0>","

","false","false","128","1","0","0","[""\n\n""]","[{""version"":0}]","[{""higher_is_better"":true,""metric"":""pope_accuracy"",""aggregation"":""utils.pope_aggregate_accuracy""},{""metric"":""pope_precision"",""aggregation"":""utils.pope_aggregate_precision"",""higher_is_better"":true},{""metric"":""pope_recall"",""aggregation"":""utils.pope_aggregate_recall"",""higher_is_better"":true},{""metric"":""pope_f1_score"",""aggregation"":""utils.pope_aggregate_f1_score"",""higher_is_better"":true},{""aggregation"":""utils.pope_aggregate_yes_ratio"",""higher_is_better"":true,""metric"":""pope_yes_ratio""}]","0","generate_until","<function pope_process_results at 0x7fff085af0a0>","false","1","false"," ","pope_pop","popular","true","vqav2_val","lmms-lab/LMMs-Eval-Lite","answer","<function vqav2_doc_to_text at 0x7fff0836a320>","<function vqav2_doc_to_visual at 0x7fff0836a200>","

","false","16","[""\n\n""]","
Answer the question using a single word or phrase.","","
Answer the question using a single word or phrase.","","[{""version"":0}]","[{""aggregation"":""mean"",""ignore_case"":true,""higher_is_better"":true,""ignore_punctuation"":true,""metric"":""exact_match""}]","0","generate_until","<function vqav2_process_results_val at 0x7fff0836a710>","false","1","false"," ","vqav2_val_lite","lite","mme","293.57142857142856","N/A","1450.2861144457784","N/A","pope_pop","0.8833333333333333","N/A","0.8723559445660102","N/A","0.9629629629629628","N/A","0.7973333333333333","N/A","0.5","N/A","vqav2_val_lite","0.7534000000000002","0.01769302026031352"
"exp_run_20_thresh_1.00_0.10_1.00","finished","-","","","2025-01-01T05:51:34.000Z","5016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exp_run_19_thresh_1.00_0.30_0.10","finished","-","","","2025-01-01T05:01:15.000Z","3001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"exp_run_19_thresh_1.00_0.30_0.10","finished","-","","","2025-01-01T05:01:15.000Z","3006","","1","[]","100000","1234","","llava","pretrained=liuhaotian/llava-v1.6-vicuna-7b","1234","0","1234","true","lmms-lab/MME","answer","<function mme_doc_to_text at 0x7fff08657b50>","<function mme_doc_to_visual at 0x7fff086575b0>","

","false","false","16","1","0","1","[""\n\n""]","
Answer the question with Yes or No.","","
Answer the question with Yes or No.",""," Answer:","","
Answer the question with Yes or No.",""," Answer:",""," Answer this question briefly[UNUSED_TOKEN_145]
[UNUSED_TOKEN_146]assistant
","[UNUSED_TOKEN_146]user
","[{""version"":0}]","[{""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true,""metric"":""mme_percetion_score""},{""metric"":""mme_cognition_score"",""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true}]","0","generate_until","<function mme_process_results at 0x7fff086a0160>","false","1","false"," ","mme","test","true","Full","lmms-lab/POPE","answer","<function pope_doc_to_text at 0x7fff0857b250>","<function pope_doc_to_visual at 0x7fff08515d80>","

","false","false","128","1","0","0","[""\n\n""]","[{""version"":0}]","[{""metric"":""pope_accuracy"",""aggregation"":""utils.pope_aggregate_accuracy"",""higher_is_better"":true},{""metric"":""pope_precision"",""aggregation"":""utils.pope_aggregate_precision"",""higher_is_better"":true},{""metric"":""pope_recall"",""aggregation"":""utils.pope_aggregate_recall"",""higher_is_better"":true},{""higher_is_better"":true,""metric"":""pope_f1_score"",""aggregation"":""utils.pope_aggregate_f1_score""},{""metric"":""pope_yes_ratio"",""aggregation"":""utils.pope_aggregate_yes_ratio"",""higher_is_better"":true}]","0","generate_until","<function pope_process_results at 0x7fff0857b880>","false","1","false"," ","pope_pop","popular","true","vqav2_val","lmms-lab/LMMs-Eval-Lite","answer","<function vqav2_doc_to_text at 0x7fff085a2b00>","<function vqav2_doc_to_visual at 0x7fff085a29e0>","

","false","16","[""\n\n""]","
Answer the question using a single word or phrase.","","
Answer the question using a single word or phrase.","","[{""version"":0}]","[{""metric"":""exact_match"",""aggregation"":""mean"",""ignore_case"":true,""higher_is_better"":true,""ignore_punctuation"":true}]","0","generate_until","<function vqav2_process_results_val at 0x7fff085a2ef0>","false","1","false"," ","vqav2_val_lite","lite","mme","261.7857142857143","N/A","1430.8924569827932","N/A","pope_pop","0.851","N/A","0.8294544067149944","N/A","0.9696699375557538","N/A","0.7246666666666667","N/A","0.5","N/A","vqav2_val_lite","0.7108000000000003","0.01869935967096754"
"exp_run_18_thresh_1.00_0.30_0.30","finished","-","","","2025-01-01T04:03:50.000Z","3431","","1","[]","100000","1234","","llava","pretrained=liuhaotian/llava-v1.6-vicuna-7b","1234","0","1234","true","lmms-lab/MME","answer","<function mme_doc_to_text at 0x7fff08637370>","<function mme_doc_to_visual at 0x7fff08636dd0>","

","false","false","16","1","0","1","[""\n\n""]","
Answer the question with Yes or No.","","
Answer the question with Yes or No.",""," Answer:","","
Answer the question with Yes or No.",""," Answer:",""," Answer this question briefly[UNUSED_TOKEN_145]
[UNUSED_TOKEN_146]assistant
","[UNUSED_TOKEN_146]user
","[{""version"":0}]","[{""higher_is_better"":true,""metric"":""mme_percetion_score"",""aggregation"":""utils.mme_aggregate_results""},{""metric"":""mme_cognition_score"",""aggregation"":""utils.mme_aggregate_results"",""higher_is_better"":true}]","0","generate_until","<function mme_process_results at 0x7fff08637910>","false","1","false"," ","mme","test","true","Full","lmms-lab/POPE","answer","<function pope_doc_to_text at 0x7fff085b2a70>","<function pope_doc_to_visual at 0x7fff085413f0>","

","false","false","128","1","0","0","[""\n\n""]","[{""version"":0}]","[{""higher_is_better"":true,""metric"":""pope_accuracy"",""aggregation"":""utils.pope_aggregate_accuracy""},{""metric"":""pope_precision"",""aggregation"":""utils.pope_aggregate_precision"",""higher_is_better"":true},{""higher_is_better"":true,""metric"":""pope_recall"",""aggregation"":""utils.pope_aggregate_recall""},{""metric"":""pope_f1_score"",""aggregation"":""utils.pope_aggregate_f1_score"",""higher_is_better"":true},{""metric"":""pope_yes_ratio"",""aggregation"":""utils.pope_aggregate_yes_ratio"",""higher_is_better"":true}]","0","generate_until","<function pope_process_results at 0x7fff085b30a0>","false","1","false"," ","pope_pop","popular","true","vqav2_val","lmms-lab/LMMs-Eval-Lite","answer","<function vqav2_doc_to_text at 0x7fff0836e320>","<function vqav2_doc_to_visual at 0x7fff0836e200>","

","false","16","[""\n\n""]","
Answer the question using a single word or phrase.","","
Answer the question using a single word or phrase.","","[{""version"":0}]","[{""metric"":""exact_match"",""aggregation"":""mean"",""ignore_case"":true,""higher_is_better"":true,""ignore_punctuation"":true}]","0","generate_until","<function vqav2_process_results_val at 0x7fff0836e710>","false","1","false"," ","vqav2_val_lite","lite","mme","248.57142857142856","N/A","1450.6056422569025","N/A","pope_pop","0.859","N/A","0.8412757973733583","N/A","0.9622317596566524","N/A","0.7473333333333333","N/A","0.5","N/A","vqav2_val_lite","0.7372000000000004","0.018120956324549513"
"exp_run_18_thresh_1.00_0.30_0.30","finished","-","","","2025-01-01T04:03:50.000Z","3424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
