Doc ID,Question,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Is Changed,Text Output,NormalizedTextOutput,Cumulative Confidence 1,Cumulative Confidence 2
0,Is there a snowboard in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.7216,0.7216
0,Is there a snowboard in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['No'],no,0.6038,0.6038
0,Is there a snowboard in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.749,0.749
0,Is there a snowboard in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.7548,0.7548
1,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.7878,0.7878
1,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9867,0.9867
1,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9954,0.9954
1,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.9948,0.9948
2,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.9559,0.9559
2,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['Yes'],yes,0.8902,0.8902
2,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.9787,0.9787
2,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.9766,0.9766
3,Is there a car in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.7981,0.7981
3,Is there a car in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9585,0.9585
3,Is there a car in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9935,0.9935
3,Is there a car in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.993,0.993
4,Is there a skis in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.7548,0.7548
4,Is there a skis in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['Yes'],yes,0.5659,0.5659
4,Is there a skis in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.6512,0.6512
4,Is there a skis in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.743,0.743
5,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.7519,0.7519
5,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9873,0.9873
5,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9907,0.9907
5,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.9907,0.9907
6,Is there a truck in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.7025,0.7024
6,Is there a truck in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['Yes'],yes,0.6892,0.6892
6,Is there a truck in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.9033,0.9032
6,Is there a truck in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.9059,0.9059
7,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.8104,0.8104
7,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9891,0.9891
7,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9931,0.9931
7,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.99,0.99
8,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.5311,0.5311
8,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['Yes'],yes,0.924,0.924
8,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.9832,0.9832
8,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.9863,0.9863
9,Is there a car in the image?,no,['Yes'],0.0,popular,Unknown,Stage 0,True,['No'],no,0.7852,0.7852
9,Is there a car in the image?,no,['Yes'],0.0,popular,Unknown,Stage 1,True,['Yes'],yes,0.6039,0.6039
9,Is there a car in the image?,no,['Yes'],0.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.9566,0.9566
9,Is there a car in the image?,no,['Yes'],0.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.9702,0.9702
10,Is there an umbrella in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.7431,0.7431
10,Is there an umbrella in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['Yes'],yes,0.9643,0.9642
10,Is there an umbrella in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.9901,0.9901
10,Is there an umbrella in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.9927,0.9927
11,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.7878,0.7878
11,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9873,0.9873
11,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9895,0.9895
11,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.9877,0.9877
12,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.9262,0.9262
12,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['No'],no,0.9773,0.9773
12,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.6187,0.6187
12,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 3,True,['Yes'],yes,0.8079,0.8079
13,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.8669,0.8669
13,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9777,0.9777
13,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9913,0.9913
13,Is there a dining table in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.9843,0.9843
14,Is there a bicycle in the image?,yes,['No'],0.0,popular,Unknown,Stage 0,False,['No'],no,0.8438,0.8438
14,Is there a bicycle in the image?,yes,['No'],0.0,popular,Unknown,Stage 1,False,['No'],no,0.9559,0.9559
14,Is there a bicycle in the image?,yes,['No'],0.0,popular,Unknown,Stage 2,False,['No'],no,0.5544,0.5544
14,Is there a bicycle in the image?,yes,['No'],0.0,popular,Unknown,Stage 3,False,['No'],no,0.5812,0.5812
15,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.8651,0.8651
15,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9752,0.9752
15,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9908,0.9908
15,Is there a chair in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.9893,0.9893
16,Is there a car in the image?,yes,['No'],0.0,popular,Unknown,Stage 0,True,['No'],no,0.731,0.7309
16,Is there a car in the image?,yes,['No'],0.0,popular,Unknown,Stage 1,True,['No'],no,0.808,0.808
16,Is there a car in the image?,yes,['No'],0.0,popular,Unknown,Stage 2,True,['Yes'],yes,0.5195,0.5195
16,Is there a car in the image?,yes,['No'],0.0,popular,Unknown,Stage 3,True,['No'],no,0.6548,0.6548
17,Is there a cup in the image?,no,['No'],1.0,popular,Unknown,Stage 0,False,['No'],no,0.8757,0.8756
17,Is there a cup in the image?,no,['No'],1.0,popular,Unknown,Stage 1,False,['No'],no,0.9706,0.9706
17,Is there a cup in the image?,no,['No'],1.0,popular,Unknown,Stage 2,False,['No'],no,0.9902,0.9902
17,Is there a cup in the image?,no,['No'],1.0,popular,Unknown,Stage 3,False,['No'],no,0.9766,0.9766
18,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 0,True,['No'],no,0.8056,0.8055
18,Is there a person in the image?,yes,['Yes'],1.0,popular,Unknown,Stage 1,True,['No'],no,0.6583,0.6583
