Doc ID,Question,Answer,Ground Truth,Prediction,Score,Category,L2 Category,Stage,Text Output,Cumulative Confidences
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7184827328728273]
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.6186723710106445]
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.6824718714760376]
0,Is there a snowboard in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.71214497099386]
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7878273726509644]
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9875234962509706]
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9956454039619996]
1,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9970930815743044]
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.9552802444504334]
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.8518861533211304]
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9799461961792544]
2,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9796434045837952]
3,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7955654860542847]
3,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9631720186279848]
3,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9939694405602052]
3,Is there a car in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9953691364334656]
4,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7576447130249573]
4,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.5233259202049805]
4,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.6038244963692261]
4,Is there a skis in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.6892017723129822]
5,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7548195124672485]
5,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9875389338539674]
5,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9913979769753052]
5,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.99328750381933]
6,Is there a truck in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.7024582625435425]
6,Is there a truck in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.6688172818230225]
6,Is there a truck in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.8871598244713379]
6,Is there a truck in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.7981231809662415]
7,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8127743006752564]
7,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9894744158791138]
7,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9931776524590088]
7,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.98632150898443]
8,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.5350344778107239]
8,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.9183804393814636]
8,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9821834565208986]
8,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.977629065613611]
9,Is there a car in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 0,['No'],[0.7852355242775513]
9,Is there a car in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 1,['Yes'],[0.5888321996735169]
9,Is there a car in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 2,['Yes'],[0.9539331794785096]
9,Is there a car in the image?,no,no,['Yes'],0.0,popular,Unknown,Stage 3,['Yes'],[0.9229917527245116]
10,Is there an umbrella in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.746066153149469]
10,Is there an umbrella in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['Yes'],[0.965323567490442]
10,Is there an umbrella in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.9842908383415772]
10,Is there an umbrella in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9858906270073488]
11,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.7878483534859253]
11,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9877339602516724]
11,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.98810076723562]
11,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.993975341420038]
12,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.9262479544685912]
12,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.9776766897247864]
12,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.5735926033066344]
12,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.8396206499146057]
13,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8651201129959656]
13,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9786560536430908]
13,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9911207557724548]
13,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9863312245415284]
14,Is there a bicycle in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8437851072357727]
14,Is there a bicycle in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.9545820356415344]
14,Is there a bicycle in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['No'],[0.603861391644342]
14,Is there a bicycle in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.9859020710991456]
15,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8632949591682983]
15,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9751560092972352]
15,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9908478261040284]
15,Is there a chair in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9934897423790529]
16,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 0,['No'],[0.7309549451874329]
16,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 1,['No'],[0.8006005884216858]
16,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 2,['No'],[0.5077498556183411]
16,Is there a car in the image?,yes,yes,['No'],0.0,popular,Unknown,Stage 3,['No'],[0.6858693362282348]
17,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8756774068878723]
17,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.969253182511194]
17,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9902467728661132]
17,Is there a cup in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9827749134110048]
18,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 0,['No'],[0.8055508137749268]
18,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 1,['No'],[0.6824842096375061]
18,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 2,['Yes'],[0.946453333001001]
18,Is there a person in the image?,yes,yes,['Yes'],1.0,popular,Unknown,Stage 3,['Yes'],[0.981793224911554]
19,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 0,['No'],[0.8103643656776978]
19,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 1,['No'],[0.9835487009094788]
19,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 2,['No'],[0.9894720912979676]
19,Is there a dining table in the image?,no,no,['No'],1.0,popular,Unknown,Stage 3,['No'],[0.9899463058518004]
